OMRÅDE,TID,ALDER,CIVILSTAND,INDHOLD
Hele landet,2020K4,I alt,Ugift,2859116
Region Hovedstaden,2020K4,I alt,Ugift,981652
København,2020K4,I alt,Ugift,417782
Frederiksberg,2020K4,I alt,Ugift,61020
Dragør,2020K4,I alt,Ugift,5856
Tårnby,2020K4,I alt,Ugift,19946
Albertslund,2020K4,I alt,Ugift,13701
Ballerup,2020K4,I alt,Ugift,22707
Brøndby,2020K4,I alt,Ugift,16317
Gentofte,2020K4,I alt,Ugift,35017
Gladsaxe,2020K4,I alt,Ugift,34749
Glostrup,2020K4,I alt,Ugift,11397
Herlev,2020K4,I alt,Ugift,13798
Hvidovre,2020K4,I alt,Ugift,26566
Høje-Taastrup,2020K4,I alt,Ugift,23898
Ishøj,2020K4,I alt,Ugift,10906
Lyngby-Taarbæk,2020K4,I alt,Ugift,28229
Rødovre,2020K4,I alt,Ugift,20234
Vallensbæk,2020K4,I alt,Ugift,7276
Allerød,2020K4,I alt,Ugift,10725
Egedal,2020K4,I alt,Ugift,18371
Fredensborg,2020K4,I alt,Ugift,17211
Frederikssund,2020K4,I alt,Ugift,18591
Furesø,2020K4,I alt,Ugift,17449
Gribskov,2020K4,I alt,Ugift,15964
Halsnæs,2020K4,I alt,Ugift,12741
Helsingør,2020K4,I alt,Ugift,27234
Hillerød,2020K4,I alt,Ugift,23405
Hørsholm,2020K4,I alt,Ugift,9669
Rudersdal,2020K4,I alt,Ugift,24844
Bornholm,2020K4,I alt,Ugift,16014
Christiansø,2020K4,I alt,Ugift,35
Region Sjælland,2020K4,I alt,Ugift,369548
Greve,2020K4,I alt,Ugift,21049
Køge,2020K4,I alt,Ugift,27484
Lejre,2020K4,I alt,Ugift,11615
Roskilde,2020K4,I alt,Ugift,41680
Solrød,2020K4,I alt,Ugift,10042
Faxe,2020K4,I alt,Ugift,15597
Guldborgsund,2020K4,I alt,Ugift,25683
Holbæk,2020K4,I alt,Ugift,32373
Kalundborg,2020K4,I alt,Ugift,21198
Lolland,2020K4,I alt,Ugift,16916
Næstved,2020K4,I alt,Ugift,38021
Odsherred,2020K4,I alt,Ugift,12941
Ringsted,2020K4,I alt,Ugift,16073
Slagelse,2020K4,I alt,Ugift,37371
Sorø,2020K4,I alt,Ugift,13338
Stevns,2020K4,I alt,Ugift,9167
Vordingborg,2020K4,I alt,Ugift,19000
Region Syddanmark,2020K4,I alt,Ugift,568943
Assens,2020K4,I alt,Ugift,17526
Faaborg-Midtfyn,2020K4,I alt,Ugift,22113
Kerteminde,2020K4,I alt,Ugift,9807
Langeland,2020K4,I alt,Ugift,4500
Middelfart,2020K4,I alt,Ugift,16533
Nordfyns,2020K4,I alt,Ugift,12586
Nyborg,2020K4,I alt,Ugift,13764
Odense,2020K4,I alt,Ugift,113639
Svendborg,2020K4,I alt,Ugift,26251
Ærø,2020K4,I alt,Ugift,2179
Billund,2020K4,I alt,Ugift,11695
Esbjerg,2020K4,I alt,Ugift,55161
Fanø,2020K4,I alt,Ugift,1229
Fredericia,2020K4,I alt,Ugift,23602
Haderslev,2020K4,I alt,Ugift,24725
Kolding,2020K4,I alt,Ugift,44962
Sønderborg,2020K4,I alt,Ugift,31983
Tønder,2020K4,I alt,Ugift,15722
Varde,2020K4,I alt,Ugift,21428
Vejen,2020K4,I alt,Ugift,19277
Vejle,2020K4,I alt,Ugift,55116
Aabenraa,2020K4,I alt,Ugift,25145
Region Midtjylland,2020K4,I alt,Ugift,657563
Favrskov,2020K4,I alt,Ugift,21719
Hedensted,2020K4,I alt,Ugift,20252
Horsens,2020K4,I alt,Ugift,44832
Norddjurs,2020K4,I alt,Ugift,16329
Odder,2020K4,I alt,Ugift,9561
Randers,2020K4,I alt,Ugift,47184
Samsø,2020K4,I alt,Ugift,1299
Silkeborg,2020K4,I alt,Ugift,44102
Skanderborg,2020K4,I alt,Ugift,28963
Syddjurs,2020K4,I alt,Ugift,18139
Aarhus,2020K4,I alt,Ugift,211863
Herning,2020K4,I alt,Ugift,41832
Holstebro,2020K4,I alt,Ugift,27431
Ikast-Brande,2020K4,I alt,Ugift,18585
Lemvig,2020K4,I alt,Ugift,7852
Ringkøbing-Skjern,2020K4,I alt,Ugift,24001
Skive,2020K4,I alt,Ugift,19993
Struer,2020K4,I alt,Ugift,8446
Viborg,2020K4,I alt,Ugift,45180
Region Nordjylland,2020K4,I alt,Ugift,281410
Brønderslev,2020K4,I alt,Ugift,16204
Frederikshavn,2020K4,I alt,Ugift,24560
Hjørring,2020K4,I alt,Ugift,28482
Jammerbugt,2020K4,I alt,Ugift,16352
Læsø,2020K4,I alt,Ugift,589
Mariagerfjord,2020K4,I alt,Ugift,17978
Morsø,2020K4,I alt,Ugift,8721
Rebild,2020K4,I alt,Ugift,13736
Thisted,2020K4,I alt,Ugift,18597
Vesthimmerlands,2020K4,I alt,Ugift,15965
Aalborg,2020K4,I alt,Ugift,120226
